,commarea,latitude,longitude
0,1,42.00925097562032,-87.6685047454798
1,10,41.98569229547863,-87.80723962155491
2,11,41.978826045997124,-87.77115576517318
3,12,41.993971451401,-87.75841847713912
4,13,41.98360134049038,-87.72357270992289
5,14,41.968039218306835,-87.72164089320614
6,15,41.9540273756729,-87.76340844751809
7,16,41.95358274942142,-87.7234481940496
8,17,41.946514650299214,-87.80604093278666
9,18,41.92930463283589,-87.79805567497992
10,19,41.927277458135414,-87.7655328183404
11,2,42.00156026953447,-87.69509482158784
12,20,41.9243811676134,-87.73473909416995
13,21,41.938667968174556,-87.71121027707909
14,22,41.92264449364771,-87.69891378644898
15,23,41.90008530734366,-87.72103942595707
16,24,41.901077794812764,-87.67629861193174
17,25,41.894111998065895,-87.76316823157693
18,26,41.87859227685324,-87.73026348088484
19,27,41.87892941817861,-87.70585322148027
20,28,41.873999149860964,-87.66352083520756
21,29,41.8601803628293,-87.7172529639314
22,3,41.96585166427051,-87.65237691074664
23,30,41.838987798905116,-87.71403523982512
24,31,41.85024213557943,-87.66757901971935
25,32,41.87762873001972,-87.6227534885193
26,33,41.85709034490899,-87.61787484287855
27,34,41.84211430430885,-87.63396339545314
28,35,41.8357284661041,-87.61500819379543
29,36,41.823993838416534,-87.59857359681173
30,37,41.80908350882271,-87.63237134772805
31,38,41.812952281922094,-87.61784752204133
32,39,41.80899390514033,-87.59164715625877
33,4,41.97516271487665,-87.68755114128972
34,40,41.79235841779906,-87.61792780195469
35,41,41.794241412661506,-87.58613527733155
36,42,41.77898507712833,-87.5894552805178
37,43,41.7619386339049,-87.56793079422866
38,44,41.7401801631578,-87.61607628241138
39,45,41.74421736809691,-87.58648233837012
40,46,41.743084986130256,-87.54678885219447
41,47,41.72822087220812,-87.59648962970803
42,48,41.72967182209268,-87.57270491667204
43,49,41.70655101972768,-87.62334400205826
44,5,41.94779259085877,-87.683831490526
45,50,41.70612926268854,-87.59837598585486
46,51,41.6907658045206,-87.57015354448164
47,52,41.70791356602744,-87.53434560302425
48,53,41.671821868818895,-87.6383004208247
49,54,41.660112823011715,-87.60306297640157
50,55,41.66046686134403,-87.54661545155979
51,56,41.79472507071156,-87.76292902064766
52,57,41.81083154175044,-87.72634135303812
53,58,41.81732725867445,-87.6988570305173
54,59,41.82989840007626,-87.67252914811057
55,6,41.94450446033443,-87.6526749242115
56,60,41.83606349093237,-87.64876222093385
57,61,41.8090349507982,-87.65909008647587
58,62,41.792994095869304,-87.72418993189903
59,63,41.79541375375208,-87.6962127622759
60,64,41.77901019749935,-87.77261391836664
61,65,41.76979585175538,-87.72693072482545
62,66,41.7718516635714,-87.69565950653485
63,67,41.775739949604706,-87.66653290248925
64,68,41.777166643767536,-87.64250746935728
65,69,41.76324173993407,-87.61616073771252
66,7,41.92262415719637,-87.64476450856758
67,70,41.7457437389531,-87.70840650625436
68,71,41.74414005166517,-87.65626908637054
69,72,41.713126552640645,-87.67507261599849
70,73,41.71751635265141,-87.6488799434954
71,74,41.69488656414568,-87.71321563523837
72,75,41.687249557288816,-87.67855645773663
73,76,41.981046459736966,-87.88819511905655
74,77,41.987051150962394,-87.66165298535861
75,8,41.898893624949906,-87.62847876621676
76,9,42.007560062260005,-87.81390163038517
